Tickers,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Employees,Option/Short,Sales Surprise,SMA20,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS Surprise,SMA50,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS Growth next Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,SMA200,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Earnings,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W Range,52W High,52W Low,RSI (14),Recom,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR (14),Volatility,Target Price,Prev Close,Price,Change
JELD,RUT,836.47M,-143.58M,3.90B,8.51,2.51,-,-,-,17700,Yes / Yes,-5.65%,-18.84%,-,9.75,-,0.21,1.18,4.00,61.41,1.33,2.03,1.88,1.79,-20.75%,-29.22%,-1.69,1.03,-0.06,-48.37%,25.54%,-7.00%,-16.41%,0.01%,-209.61%,-17.99%,-270.16%,-13.21%,-37.04%,1.98%,154.33%,99.43%,2.60%,-4.85%,-18.21%,-7.15%,17.04%,3.51%,-3.68%,0.00%,Nov 04 AMC,,85.31M,82.94M,3.00%,3.72,2.49M,8.90 - 21.75,-53.79%,12.92%,29.30,3.20,1.75,669.46K,"1,169,019",-11.06%,-36.15%,-26.96%,-35.41%,-34.18%,-46.77%,2.19,0.71,4.81% 5.04%,12.20,10.19,10.05,-1.37%
JFBR,-,2.17M,-6.65M,12.34M,0.78,0.31,-,-,-,12,No / Yes,-,-22.89%,-,-,-,0.18,0.30,0.77,-,2.02,4.38,0.01,0.00,-,-14.55%,-3.02,-,-,-,-,-,-402.26%,121.71%,-1000.00%,-,-211.64%,60.11%,-53.87%,27.19%,47.00%,2.15%,71.06%,-43.61%,-71.94%,-92.20%,4.69%,-35.20%,-53.87%,-,-,,9.18M,6.68M,23.82%,0.63,1.59M,0.17 - 5.29,-95.54%,38.68%,39.56,-,0.34,2.54M,"866,879",-27.33%,-2.28%,4.57%,-38.63%,-91.57%,-92.27%,2.04,0.05,13.23% 17.04%,-,0.24,0.24,-1.71%
JFIN,-,175.70M,166.44M,832.85M,7.13,4.65,-,0.90 (13.33%),"Aug 27, 2024",925,Yes / Yes,-,2.02%,2.16,-,-,0.21,0.95,1.45,-,-,-,0.02,0.02,-,2.08%,3.12,-,-,-,-,-,14.65%,22.77%,-15.95%,33.32%,-28.66%,11.99%,7.73%,-,-,0.96%,-18.89%,23.96%,52.38%,43.15%,55.85%,19.23%,19.98%,22.20%,Nov 20 BMO,,26.03M,-,-,0.21,0.03M,4.00 - 8.58,-21.33%,68.75%,52.93,1.00,0.44,120.95K,"53,822",1.96%,-5.86%,11.20%,-0.15%,33.93%,30.31%,0.88,0.34,3.88% 4.27%,12.00,6.70,6.75,0.75%
JFU,-,11.16M,1.11M,56.20M,41.52,23.41,-,-,-,276,No / Yes,-,-18.21%,13.60,-,-,0.20,0.03,0.05,-,-,-,0.00,0.00,-,-28.07%,0.09,-,-,-,-,-13.22%,-,-35.57%,101.27%,-27.85%,-1778.16%,-54.29%,-46.87%,-,-,0.17%,6.54%,0.19%,0.23%,0.23%,69.44%,-1.04%,1.97%,-,-,,8.72M,-,-,0.09,0.01M,1.21 - 4.90,-73.88%,5.78%,33.85,3.00,0.11,75.49K,"8,109",-17.95%,-28.89%,-29.28%,-54.61%,-57.36%,-62.68%,0.46,0.19,13.04% 8.77%,9.10,1.40,1.28,-8.57%
JG,-,19.86M,-3.31M,41.68M,2.12,3.11,-,-,-,371,No / Yes,-,-30.42%,-,-,-,0.48,2.02,1.38,-,0.68,0.68,0.36,0.23,-,-30.50%,-0.56,-,-,-,-,-,14.27%,-14.65%,69.80%,-1.79%,61.46%,7.92%,9.71%,9.37%,0.00%,0.14%,26.65%,-6.60%,-29.75%,-27.28%,68.45%,-6.81%,-7.94%,-,Nov 14 BMO,,4.64M,4.20M,0.58%,1.57,0.02M,1.85 - 9.78,-56.22%,131.35%,33.39,1.00,1.31,15.40K,"20,150",-20.15%,-28.90%,23.88%,34.59%,95.43%,50.08%,1.13,0.66,13.01% 9.90%,6.99,5.27,4.28,-18.79%
JHG,-,6.88B,398.00M,2.43B,29.23,16.28,1.57 (3.53%),1.56 (3.51%),"Nov 08, 2024",2196,Yes / Yes,3.98%,4.51%,17.58,12.17,1.98,2.84,1.52,2.73,11.46,-,-,0.15,0.09,15.54%,10.97%,2.53,3.65,0.95,30.06%,6.67%,8.88%,-1.88%,-0.06%,24.52%,16.42%,-69.49%,28.29%,26.69%,0.52%,-3.82%,92.40%,-2.85%,5.87%,8.76%,7.91%,76.44%,28.23%,16.40%,65.75%,Oct 31 BMO,,163.30M,158.16M,2.96%,5.18,4.68M,25.39 - 45.67,-2.78%,74.87%,64.55,3.17,1.09,902.13K,"983,363",-1.88%,7.71%,21.44%,29.18%,72.70%,47.26%,1.47,0.89,1.89% 2.09%,42.64,44.50,44.40,-0.22%
JHX,-,15.38B,440.55M,3.94B,4.60,1.35,-,-,"May 26, 2022",-,Yes / Yes,-1.14%,7.88%,35.39,20.85,6.56,3.90,7.78,26.53,43.46,1.50,2.02,0.62,0.60,7.37%,0.39%,1.01,1.72,0.35,-7.14%,14.89%,5.40%,17.57%,9.74%,-8.69%,5.54%,-43.49%,-3.03%,0.60%,-,-,1.94%,-3.78%,9.35%,23.40%,13.90%,40.17%,23.14%,11.17%,0.00%,Nov 13 BMO,,433.78M,-,-,0.67,0.07M,29.88 - 43.57,-17.79%,19.88%,58.84,2.07,0.65,99.62K,"64,911",9.57%,0.17%,6.39%,-2.10%,12.15%,-7.37%,1.76,1.28,3.09% 2.64%,36.67,36.15,35.82,-0.91%
JILL,RUT,372.37M,41.27M,616.33M,7.68,1.90,0.21 (0.84%),0.14 (0.56%),"Sep 18, 2024",3091,No / Yes,0.66%,-0.49%,8.77,6.71,-,0.60,3.24,13.08,7.27,0.43,0.87,2.31,1.88,14.93%,0.06%,2.84,3.71,0.80,6.15%,11.60%,-,-6.14%,0.03%,36.30%,2.22%,-48.80%,-0.27%,-15.28%,53.85%,-14.40%,47.82%,453.91%,10.22%,75.39%,15.84%,66.95%,13.53%,6.70%,0.00%,Sep 04 BMO,,10.61M,6.96M,6.08%,2.60,0.42M,23.06 - 40.61,-38.76%,7.85%,46.40,1.67,0.57,162.51K,"92,377",-4.12%,-1.85%,-26.09%,-21.72%,-21.02%,-3.53%,0.62,0.85,3.68% 3.05%,36.40,25.47,24.87,-2.36%
JJSF,RUT,3.12B,86.55M,1.57B,49.18,3.89,-,2.98 (1.80%),"Sep 17, 2024",5000,Yes / Yes,-0.36%,-1.98%,37.19,26.49,-,1.98,3.36,42.53,31.37,1.59,2.59,0.17,0.15,-13.33%,-1.80%,4.45,6.24,0.59,12.58%,12.47%,-,-2.31%,6.54%,8.93%,1.02%,-3.18%,-3.85%,4.11%,21.59%,-0.56%,78.47%,-0.59%,6.46%,9.26%,7.88%,30.54%,7.46%,5.50%,67.08%,Nov 13 AMC,,19.46M,15.23M,4.07%,8.40,0.62M,133.23 - 180.80,-8.53%,24.13%,44.15,2.17,0.88,73.83K,"64,742",-6.39%,-1.90%,-4.47%,1.30%,-1.79%,-1.05%,0.64,4.26,3.42% 2.23%,187.25,161.77,165.38,2.23%
JKHY,S&P 500,12.61B,399.33M,2.25B,26.39,0.59,2.21 (1.28%),2.17 (1.26%),"Dec 02, 2024",7170,Yes / Yes,0.24%,-4.56%,31.47,27.21,3.64,5.62,6.52,291.80,27.15,0.96,0.96,0.10,0.05,1.20%,-4.12%,5.47,6.32,1.34,11.91%,8.05%,8.65%,8.27%,7.40%,10.43%,6.04%,17.12%,5.18%,0.68%,0.63%,0.00%,96.53%,-1.36%,14.10%,22.28%,19.73%,41.21%,22.70%,17.79%,40.93%,Nov 05 AMC,,72.87M,72.50M,2.29%,3.12,1.66M,151.05 - 189.63,-9.27%,13.91%,30.83,2.68,0.79,532.41K,"420,290",-2.82%,-7.55%,3.93%,1.54%,12.16%,5.29%,0.62,3.20,1.52% 1.75%,190.07,173.21,172.06,-0.66%
JKS,-,1.09B,78.08M,14.49B,55.60,74.07,-,-,"Aug 15, 2024",57397,Yes / Yes,11.15%,-10.86%,35.92,7.26,0.98,0.08,0.38,0.29,-,0.92,1.22,2.48,1.37,109.97%,-7.65%,0.59,2.92,-0.24,-92.59%,289.94%,36.71%,42.45%,37.41%,-87.41%,-11.91%,-98.13%,-22.16%,-9.32%,0.48%,0.00%,29.57%,-5.04%,0.43%,2.78%,1.15%,12.80%,-0.10%,0.54%,15.79%,Oct 30 BMO,,52.14M,51.33M,9.73%,3.17,5.00M,16.70 - 38.37,-44.80%,26.83%,43.08,3.33,0.45,1.58M,"704,525",-6.53%,4.03%,11.01%,-11.71%,-39.90%,-42.66%,0.35,1.84,4.50% 7.32%,23.66,20.91,21.18,1.29%
JL,-,11.30M,0.10M,3.63M,0.04,0.02,-,-,"Mar 08, 2024",62,No / Yes,-,-22.45%,102.86,-,-,3.11,8.70,17.13,-,1.84,2.67,0.21,0.14,-,-14.55%,0.00,-,-,-,-,-,-,11.90%,-,-,-,-,-80.68%,67.17%,0.00%,0.27%,-37.42%,-,-,6.77%,23.43%,1.33%,2.75%,0.00%,-,,31.40M,10.31M,18.65%,1.30,1.92M,0.30 - 27.35,-98.68%,19.60%,42.70,-,0.24,1.48M,"356,247",-25.31%,-14.29%,0.56%,-46.37%,-,-94.70%,-,0.08,11.70% 21.93%,-,0.37,0.36,-2.78%
JLL,-,12.37B,478.00M,22.50B,140.02,9.28,-,-,"Nov 14, 2019",106100,Yes / Yes,4.47%,-2.16%,26.54,16.13,2.95,0.55,1.87,28.25,21.92,-,-,0.75,0.29,27.73%,-0.96%,9.88,16.26,5.77,80.03%,22.03%,9.00%,-15.03%,5.30%,109.85%,9.86%,159.25%,14.82%,18.92%,0.88%,0.00%,96.20%,0.72%,2.87%,7.53%,5.59%,98.89%,3.61%,2.12%,0.00%,Nov 06 BMO,,47.51M,47.03M,1.54%,2.50,0.72M,152.28 - 288.50,-9.10%,72.22%,46.41,1.89,0.69,289.60K,"201,207",-4.00%,-1.50%,7.76%,29.77%,70.45%,38.86%,1.35,7.49,1.96% 2.93%,291.67,261.20,262.26,0.41%
JMIA,-,382.34M,-97.20M,181.20M,0.25,1.61,-,-,-,2915,Yes / Yes,-1.20%,-15.16%,-,-,-,2.11,14.97,2.32,-,1.73,1.80,0.11,0.07,-,-21.58%,-1.02,-0.34,-0.06,26.00%,54.05%,-,16.58%,4.86%,37.23%,-12.10%,-,-18.85%,-39.14%,0.35%,0.00%,31.16%,34.82%,-43.88%,-101.00%,-88.29%,57.73%,-29.63%,-53.64%,-,Nov 07 BMO,,102.23M,101.87M,5.75%,2.08,5.86M,2.66 - 15.04,-75.13%,40.60%,31.88,3.00,0.48,2.82M,"1,348,603",-6.97%,-23.83%,-24.90%,-42.73%,39.03%,5.95%,2.95,0.29,5.39% 6.01%,5.00,3.72,3.74,0.54%
JMSB,RUT,349.29M,16.79M,110.86M,17.07,-,-,0.25 (1.03%),"Jun 28, 2024",135,Yes / Yes,-,5.73%,20.51,-,-,3.15,1.42,-,20.75,-,0.14,0.35,0.35,-,16.05%,1.18,-,-,-,-,-,-16.49%,7.89%,89.32%,34.20%,141.25%,204.02%,30.93%,13.26%,0.12%,41.58%,1.19%,0.73%,7.24%,5.12%,-,19.53%,15.14%,60.54%,-,,14.15M,12.35M,0.44%,2.78,0.05M,15.00 - 26.52,-8.45%,61.87%,62.11,-,1.04,19.75K,"20,449",-6.54%,15.07%,28.40%,43.41%,30.12%,7.62%,0.69,0.84,3.66% 3.23%,-,24.68,24.28,-1.62%
JNJ,"DJIA, S&P 500",377.85B,14.68B,87.69B,29.14,8.31,4.68 (3.02%),4.86 (3.14%),"Nov 26, 2024",131900,Yes / Yes,1.35%,-2.18%,25.58,14.62,4.26,4.31,5.31,18.62,18.21,0.79,1.03,0.51,0.45,9.68%,-3.94%,6.05,10.59,2.02,0.33%,6.36%,6.00%,-0.27%,1.31%,15.10%,-8.03%,-43.91%,5.27%,-0.73%,0.12%,-0.18%,72.75%,2.08%,8.58%,20.89%,14.47%,68.67%,24.60%,16.75%,84.93%,Oct 15 BMO,,2.41B,2.40B,0.75%,2.92,18.11M,143.13 - 168.85,-8.34%,8.13%,38.65,2.13,1.19,6.20M,"7,345,744",-0.17%,-6.27%,-3.37%,2.31%,3.11%,-1.26%,0.51,2.42,1.86% 1.53%,176.95,154.00,154.77,0.50%
JNPR,S&P 500,11.21B,250.20M,5.03B,14.03,3.96,0.89 (2.50%),0.88 (2.47%),"Dec 02, 2024",11144,Yes / Yes,5.88%,-7.83%,46.94,18.36,7.82,2.23,2.54,9.00,28.37,1.30,1.72,0.38,0.38,7.70%,-8.15%,0.76,1.94,0.56,-27.45%,18.27%,6.00%,-9.86%,3.82%,-32.09%,-10.87%,17.32%,-4.78%,-4.32%,1.23%,-4.61%,85.63%,-7.51%,2.63%,5.58%,3.91%,58.60%,6.59%,4.97%,92.46%,Oct 31 AMC,,331.09M,327.03M,3.03%,2.61,9.92M,25.83 - 39.79,-10.51%,37.86%,11.03,2.85,3.51,3.80M,"13,353,527",-8.32%,-9.18%,-8.27%,2.80%,32.77%,20.79%,0.91,0.53,3.27% 1.15%,39.70,36.51,35.61,-2.47%
JNVR,-,5.80M,-3.42M,1.82M,0.35,0.25,-,-,-,39,No / Yes,-,-10.64%,-,-,-,3.19,1.47,2.09,-,8.75,8.75,0.01,0.00,-,-10.28%,-0.37,-,-,-,-,-,-,-,-,-13.78%,75.51%,5.98%,-41.29%,-,-,0.88%,64.53%,-63.73%,-68.69%,-86.40%,-,-,-187.70%,-,-,,7.06M,3.83M,0.70%,0.06,0.03M,0.42 - 1.84,-72.12%,21.91%,43.78,-,0.14,429.45K,"58,283",-17.48%,-10.97%,0.27%,-54.40%,-49.21%,-50.19%,2.58,0.10,14.45% 20.32%,-,0.53,0.51,-4.08%
JOB,-,25.00M,-21.62M,122.40M,0.79,0.19,-,-,"Dec 12, 2007",251,No / Yes,-,-5.31%,-,-,-,0.20,0.30,1.28,11.79,4.12,4.12,0.04,0.02,-,-5.36%,-0.20,-,-,-,-,-,-,0.87%,-370.34%,-23.36%,-358.83%,-22.83%,-22.52%,11.02%,8.70%,32.88%,0.80%,-19.60%,-21.98%,-24.53%,29.83%,-3.05%,-17.66%,0.00%,Aug 14 AMC,,111.49M,96.78M,0.34%,1.85,0.33M,0.23 - 0.55,-56.18%,4.00%,38.27,1.00,0.76,176.21K,"133,944",-7.28%,-6.96%,-13.42%,-29.14%,-56.17%,-51.62%,0.53,0.01,5.19% 4.21%,2.00,0.24,0.24,1.13%
JOBY,RUT,4.16B,-476.86M,1.11M,1.09,0.96,-,-,-,1777,Yes / Yes,-78.59%,2.17%,-,-,-,3749.01,5.15,5.86,-,16.12,16.12,0.04,0.03,-6.71%,3.13%,-0.69,-0.72,-0.19,9.74%,-1.02%,-11.81%,-,0.00%,7.08%,-,-9509.09%,-,5.20%,43.12%,-0.34%,29.72%,4.67%,-41.22%,-50.45%,-59.02%,-2998.02%,-51673.05%,-42844.56%,-,Nov 07 BMO,,698.26M,435.22M,17.94%,6.60,78.06M,4.50 - 7.69,-27.05%,24.67%,51.63,2.14,0.99,11.84M,"11,685,531",-10.53%,0.00%,11.09%,13.33%,-6.34%,-15.64%,2.00,0.39,7.15% 6.99%,7.62,5.73,5.61,-2.09%
JOE,RUT,2.92B,68.45M,385.14M,12.27,1.42,-,0.52 (1.04%),"Nov 07, 2024",978,Yes / Yes,-,-4.16%,42.77,-,-,7.59,4.09,35.33,35.45,-,-,0.63,0.62,-,-10.76%,1.17,-,-,-,-,-,20.89%,31.33%,-26.13%,5.76%,-13.29%,-2.35%,-11.10%,3.61%,-32.56%,79.56%,-2.61%,4.43%,9.82%,5.89%,29.20%,22.63%,17.77%,33.02%,Oct 23 AMC,,58.37M,56.29M,1.19%,3.35,0.67M,49.36 - 64.69,-22.43%,1.67%,29.47,2.00,1.23,199.46K,"244,409",-4.11%,-15.85%,-13.69%,-14.16%,-4.78%,-16.62%,1.26,1.28,2.44% 2.59%,19.00,49.96,50.18,0.44%
JOUT,RUT,330.61M,-8.27M,583.32M,48.92,14.55,-,1.32 (4.07%),"Oct 09, 2024",1400,No / Yes,-2.08%,-2.05%,-,22.51,-,0.57,0.66,2.23,-,2.40,4.64,0.10,0.09,-27.27%,-6.12%,-0.82,1.44,-0.98,-112.11%,726.09%,14.00%,-14.37%,5.09%,-116.78%,-23.64%,-89.08%,-7.79%,-15.41%,18.16%,0.00%,70.34%,0.52%,-1.19%,-1.62%,-1.53%,34.36%,-3.99%,-1.42%,66.17%,Aug 05 BMO,,9.04M,8.34M,5.10%,10.79,0.43M,31.60 - 55.30,-41.37%,2.59%,40.22,1.00,0.71,39.43K,"28,132",-7.87%,-6.33%,-9.59%,-10.81%,-37.79%,-39.31%,0.70,0.90,3.27% 2.46%,52.00,32.93,32.42,-1.55%
JPM,"DJIA, S&P 500",699.65B,52.07B,274.62B,115.15,-,4.84 (1.98%),4.60 (1.88%),"Oct 04, 2024",309926,Yes / Yes,2.96%,5.93%,13.63,14.59,5.30,2.55,2.13,-,6.62,-,1.48,2.56,1.29,9.52%,11.36%,17.98,16.79,3.87,12.95%,-8.40%,2.57%,12.53%,14.88%,7.33%,21.02%,1.12%,11.37%,20.31%,0.40%,-0.17%,73.68%,-0.08%,1.32%,16.12%,6.59%,-,26.74%,18.96%,25.27%,Oct 11 BMO,,2.88B,2.80B,0.94%,2.98,26.26M,150.09 - 248.00,-1.20%,63.26%,68.55,2.04,0.98,8.83M,"8,683,297",2.40%,8.72%,14.22%,25.28%,61.79%,44.05%,1.10,5.28,1.65% 1.90%,238.32,245.31,245.03,-0.11%
JRSH,-,40.32M,-3.56M,130.27M,5.16,1.33,-,0.20 (6.10%),"Nov 22, 2024",5600,No / Yes,7.34%,6.02%,-,15.26,-,0.31,0.64,2.47,-,1.54,3.14,0.07,0.01,-,8.38%,-0.29,0.21,-0.03,9.38%,248.28%,-,-,9.31%,-1653.94%,-3.43%,77.10%,20.63%,8.66%,51.03%,0.00%,3.44%,4.86%,-4.46%,-5.41%,-5.57%,13.56%,-1.80%,-2.73%,-,Nov 12 BMO,,12.29M,6.02M,0.09%,0.56,0.01M,2.68 - 3.46,-5.29%,22.39%,68.67,1.00,1.35,10.02K,"13,515",9.33%,7.54%,13.69%,6.15%,14.29%,5.31%,0.82,0.13,6.71% 3.79%,4.50,3.30,3.28,-0.61%
JRVR,RUT,166.28M,-175.70M,796.80M,14.02,-,0.18 (4.11%),0.20 (4.44%),"Dec 16, 2024",649,Yes / Yes,16.35%,-25.47%,-,2.94,-,0.21,0.32,-,2.04,-,0.61,0.45,0.45,-584.93%,-28.57%,-4.71,1.53,-0.18,-84.39%,637.15%,6.90%,-,0.01%,-391.59%,-14.62%,-340.11%,-17.96%,-42.24%,18.98%,0.00%,81.59%,-2.32%,0.69%,2.89%,-17.93%,-,6.86%,-22.05%,-,Nov 11 AMC,,37.64M,30.65M,2.99%,3.14,0.92M,4.47 - 11.49,-60.84%,0.67%,26.33,2.00,2.73,291.97K,"796,260",-32.02%,-37.24%,-40.00%,-42.53%,-47.06%,-51.30%,0.13,0.36,11.43% 5.67%,8.75,4.63,4.50,-2.81%
JSPR,RUT,277.63M,-63.53M,0.00M,5.58,6.67,-,-,-,45,Yes / Yes,-,-8.45%,-,-,-,-,3.59,3.00,-,7.61,7.61,0.02,0.01,-15.75%,-1.20%,-4.75,-4.54,-1.26,27.02%,-0.75%,-,-,0.00%,42.77%,-,22.30%,-,-7.74%,24.94%,-0.06%,77.16%,12.20%,-60.56%,-71.46%,-75.01%,-,0.00%,-,-,Nov 07 BMO,,15.00M,11.26M,15.59%,6.49,1.76M,4.00 - 31.01,-35.44%,400.50%,44.04,1.00,0.75,270.36K,"201,868",-19.05%,-0.10%,6.89%,-13.82%,227.12%,153.74%,2.19,1.71,9.10% 7.62%,73.29,20.43,20.02,-2.01%
JTAI,-,4.58M,-13.15M,15.03M,-0.15,0.43,-,-,-,9,No / Yes,15.22%,-50.40%,-,-,-,0.30,-,14.76,-,0.18,0.18,-,-,-549.19%,-66.73%,-1.06,-3.90,-2.12,-16.77%,95.99%,-,-,-22.07%,-130.40%,346.33%,68.47%,16.34%,-93.94%,14.13%,0.00%,0.08%,-,-307.17%,-809.85%,-,-4.18%,-82.03%,-87.53%,-,Nov 14 BMO,,24.58M,21.10M,0.16%,0.16,0.03M,5.17 - 1005.75,-99.37%,22.85%,29.82,1.00,3.78,205.06K,"775,705",-26.89%,-72.60%,-85.89%,-95.87%,-97.86%,-98.04%,0.19,3.26,33.20% 21.09%,20.00,5.35,6.35,18.69%
JUNE,-,64.25M,-,-,-,-,-,-,"Jun 26, 2017",24,No / Yes,-,-0.95%,-,-,-,-,-,-,-,-,-,-,-,-,0.39%,-,-,-,-,-,-,-50.17%,-9.86%,-,-,-,-,7.04%,-,-,0.51%,-,-,-,-,-,-,-,-,-,,10.71M,-,-,0.14,0.01M,3.60 - 5.97,-17.09%,37.50%,49.34,-,0.20,82.69K,"16,385",-1.98%,-5.17%,16.47%,15.12%,-,21.92%,-,0.34,3.83% 7.87%,-,4.98,4.95,-0.60%
JVA,-,20.00M,1.12M,76.11M,4.36,0.52,-,-,"Feb 09, 2022",96,No / Yes,-19.98%,6.35%,16.91,-,1.06,0.26,0.76,6.45,4.29,1.68,3.65,0.14,0.04,-283.33%,7.91%,0.20,-,-,-,-,16.00%,-,-2.61%,123.45%,17.27%,660.20%,19.34%,62.62%,12.70%,4.36%,14.19%,6.32%,3.11%,4.62%,4.35%,12.80%,-4.20%,1.48%,-,-,,5.71M,4.98M,0.32%,0.16,0.02M,0.76 - 3.88,-14.11%,337.87%,57.71,1.00,1.13,96.84K,"109,372",5.05%,-4.58%,45.41%,132.87%,293.01%,265.93%,1.34,0.26,6.66% 8.12%,7.00,3.23,3.33,3.10%
JVSA,-,79.82M,1.37M,0.00M,7.82,0.11,-,-,-,2,No / Yes,-,0.49%,58.12,-,-,-,1.33,95.03,-,2.08,2.08,0.00,0.00,-,0.93%,0.18,-,-,-,-,-,-,0.00%,-,-,1217.81%,-,1.95%,40.85%,0.00%,66.64%,-,4.51%,4.57%,2.28%,-,0.00%,-,-,-,,6.25M,4.55M,0.07%,0.15,0.00M,10.02 - 10.42,-0.38%,3.59%,58.65,-,0.04,20.15K,754,0.39%,0.48%,2.06%,-,-,3.49%,-,0.04,0.20% 0.22%,-,10.38,10.38,0.00%
JWEL,-,5.69M,-11.47M,160.01M,11.61,0.64,-,-,"Aug 30, 2024",154,No / No,-,50.47%,-,-,-,0.04,0.25,4.55,-,0.56,2.95,0.10,0.04,-,69.35%,-5.34,-,-,-,-,-,-,57.54%,-1218.66%,-23.80%,-1908.67%,-31.00%,74.61%,15.73%,0.00%,0.11%,-,-21.53%,-36.62%,-43.71%,2.04%,-6.81%,-7.17%,-,-,,2.17M,1.83M,0.66%,0.62,0.01M,1.00 - 3.14,-7.96%,188.97%,73.57,-,790.14,19.51K,"15,414,827",44.50%,90.13%,120.61%,144.92%,-39.79%,35.05%,0.39,0.30,21.52% 12.72%,-,1.95,2.89,48.21%
JWN,-,3.64B,284.00M,14.97B,5.77,4.16,0.85 (3.81%),0.76 (3.41%),"Sep 03, 2024",54000,Yes / Yes,0.33%,-2.43%,13.06,11.20,-,0.24,3.86,5.36,26.75,0.41,1.07,4.46,4.20,35.02%,-1.95%,1.71,1.99,0.22,-9.33%,3.56%,-7.00%,-24.38%,0.91%,815.76%,1.02%,-13.90%,3.23%,5.23%,42.45%,-0.03%,50.01%,-8.22%,3.26%,35.02%,5.76%,36.54%,3.62%,1.90%,92.67%,Nov 26 AMC,,162.40M,94.51M,12.03%,4.98,11.37M,13.68 - 24.93,-10.55%,63.01%,43.15,3.16,0.60,2.28M,"1,374,804",-1.50%,-9.61%,0.77%,5.69%,54.33%,20.87%,2.59,0.66,2.58% 3.01%,21.08,22.87,22.30,-2.49%
JXJT,-,8.85M,3.04M,31.84M,1.53,0.07,-,-,-,57,No / Yes,-,7.22%,2.89,-,-,0.28,0.95,21.59,-,2.88,2.88,0.00,0.00,-,-9.69%,0.50,-,-,-,-,-,-,67.89%,100.51%,-60.14%,-57.68%,-36.53%,-0.85%,6.04%,0.00%,0.13%,-99.62%,15.95%,22.15%,20.08%,17.14%,10.43%,9.56%,0.00%,-,,6.06M,5.70M,0.18%,0.10,0.01M,0.95 - 8.51,-82.96%,52.62%,50.92,-,0.80,104.81K,"84,045",38.10%,-15.20%,-21.20%,8.21%,9.10%,8.79%,0.95,0.19,24.22% 15.15%,-,1.45,1.45,0.00%
JXN,RUT,7.46B,-1002.00M,3.92B,136.72,-,-,2.72 (2.70%),"Dec 05, 2024",3840,Yes / Yes,39.21%,-2.27%,-,4.84,-,1.90,0.74,-,1.26,-,-,0.19,0.15,-1.49%,4.45%,-12.45,20.82,4.80,48.33%,9.31%,23.20%,-12.54%,8.68%,-156.98%,108.01%,-119.10%,-18.61%,29.91%,1.79%,-2.46%,92.57%,-1.23%,-0.31%,-9.50%,-8.12%,-,-31.02%,-25.54%,23.06%,Nov 06 AMC,,78.66M,72.54M,4.16%,4.48,3.02M,44.40 - 115.22,-12.48%,127.12%,48.54,3.20,0.78,673.80K,"527,968",-10.99%,2.29%,19.59%,31.63%,123.54%,96.95%,1.47,4.14,4.40% 3.58%,103.40,100.63,100.84,0.21%
JYD,-,45.17M,-9.23M,82.87M,-0.23,0.07,-,-,-,175,No / Yes,-,12.16%,-,-,-,0.55,-,15.58,-,0.73,0.73,-,-,-,20.69%,-0.43,-,-,-,-,-,-,29.38%,-113.27%,56.98%,27.48%,53.37%,27.85%,97.15%,0.00%,0.15%,-20.38%,-62.26%,-280.34%,-,-3.00%,-11.23%,-11.14%,-,-,,14.94M,1.24M,4.95%,1.91,0.06M,0.42 - 3.10,-66.45%,147.65%,59.30,-,0.59,32.18K,"19,050",-1.90%,19.67%,45.44%,42.45%,-40.91%,-6.32%,0.81,0.09,8.84% 9.37%,-,1.10,1.04,-5.46%
JYNT,RUT,159.52M,-16.86M,120.80M,1.37,1.49,-,-,-,794,Yes / Yes,6.42%,-5.18%,-,36.24,-,1.32,7.90,7.25,20.85,1.41,1.41,0.46,0.30,-2692.59%,-4.50%,-1.14,0.30,0.01,42.46%,179.68%,25.00%,-,26.51%,-994.26%,5.14%,-337.19%,2.46%,-13.46%,1.53%,0.00%,71.50%,-1.64%,-18.92%,-60.51%,-63.31%,85.85%,1.54%,-13.95%,-,Nov 08 BMO,,14.98M,14.75M,3.30%,9.74,0.49M,8.29 - 17.82,-39.39%,30.28%,42.04,1.80,4.36,50.01K,"217,987",-14.15%,-7.69%,-4.42%,-35.14%,29.96%,12.38%,1.58,0.45,4.25% 3.35%,16.38,11.06,10.80,-2.35%
